category,category_ind,root_category
Мебель -> Кухонные гарнитуры и модули,43,Мебель
Мебель -> Мебель для ванной,44,Мебель
Мебель -> Мебель для геймеров,45,Мебель
Мебель -> Мебель для хранения,46,Мебель
Мебель -> Мягкая мебель,47,Мебель
Мебель -> Офисная мебель,48,Мебель
Мебель -> Столы и стулья,49,Мебель
Недвижимость -> Аренда жилой недвижимости,50,Недвижимость
Недвижимость -> Коммерческая недвижимость,51,Недвижимость
Недвижимость -> Продажа жилой недвижимости,52,Недвижимость
Оборудование для бизнеса,53,Оборудование для бизнеса
"Одежда, обувь и аксессуары -> Аксессуары",54,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Аксессуары для обуви",55,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Багаж и аксессуары для путешествий",56,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Женская обувь -> Балетки",57,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Женская обувь -> Босоножки и сандалии",58,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Женская обувь -> Ботильоны",59,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Женская обувь -> Ботинки и полуботинки",60,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Женская обувь -> Домашние тапочки",61,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Женская обувь -> Кеды, кроссовки и слипоны",62,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Женская обувь -> Лоферы",63,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Женская обувь -> Мокасины и топсайдеры",64,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Женская обувь -> Резиновые сапоги и акваобувь",65,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Женская обувь -> Сабо",66,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Женская обувь -> Сапоги и полусапоги",67,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Женская обувь -> Сноубутсы",68,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Женская обувь -> Туфли",69,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Женская обувь -> Шлепанцы",70,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Женская одежда -> Блузы и рубашки",71,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Женская одежда -> Брюки",72,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Женская одежда -> Джемперы и кардиганы",73,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Женская одежда -> Джинсы",74,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Женская одежда -> Домашняя одежда",75,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Женская одежда -> Жакеты и жилеты",76,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Женская одежда -> Комбинезоны",77,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Женская одежда -> Костюмы",78,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Женская одежда -> Купальники",79,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Женская одежда -> Куртки",80,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Женская одежда -> Нижнее белье",81,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Женская одежда -> Носки, чулки, колготки",82,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Женская одежда -> Пальто и дубленки",83,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Женская одежда -> Парки и пуховики",84,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Женская одежда -> Платья, юбки и сарафаны",85,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Женская одежда -> Плащи и тренчи",86,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Женская одежда -> Толстовки и свитшоты",87,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Женская одежда -> Утепленные жилетки",88,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Женская одежда -> Футболки, майки и топы",89,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Женская одежда -> Шорты",90,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Женская одежда -> Шубы",91,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Карнавальные и праздничные костюмы",92,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Мужская обувь -> Ботинки и полуботинки",93,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Мужская обувь -> Домашние тапочки",94,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Мужская обувь -> Кеды, кроссовки и слипоны",95,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Мужская обувь -> Лоферы",96,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Мужская обувь -> Мокасины и топсайдеры",97,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Мужская обувь -> Резиновые сапоги и акваобувь",98,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Мужская обувь -> Сандалии",99,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Мужская обувь -> Сапоги",100,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Мужская обувь -> Туфли",101,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Мужская обувь -> Шлепанцы",102,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Мужская одежда -> Брюки",103,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Мужская одежда -> Джемперы и кардиганы",104,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Мужская одежда -> Джинсы",105,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Мужская одежда -> Домашняя одежда",106,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Мужская одежда -> Костюмы, пиджаки и жилеты",107,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Мужская одежда -> Куртки",108,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Мужская одежда -> Нижнее белье",109,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Мужская одежда -> Пальто и дубленки",110,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Мужская одежда -> Парки и пуховики",111,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Мужская одежда -> Плащи и тренчи",112,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Мужская одежда -> Рубашки",113,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Мужская одежда -> Толстовки и свитшоты",114,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Мужская одежда -> Утепленные жилетки",115,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Мужская одежда -> Футболки и поло",116,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Мужская одежда -> Шорты",117,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Спец одежда и обувь",118,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Спортивная одежда и обувь",119,"Одежда, обувь и аксессуары"
"Одежда, обувь и аксессуары -> Сумки и рюкзаки",120,"Одежда, обувь и аксессуары"
Путешествия -> Авиа билеты,121,Путешествия
Сад и огород -> Бассейны и аксессуары,122,Сад и огород
Сад и огород -> Водоснабжение и полив садового участка,123,Сад и огород
"Сад и огород -> Газонокосилки, триммеры и снегоуборочная техника",124,Сад и огород
Сад и огород -> Грили и мангалы,125,Сад и огород
Сад и огород -> Декор для сада,126,Сад и огород
Сад и огород -> Мебель для сада,127,Сад и огород
Сад и огород -> Новогодние товары,128,Сад и огород
Сад и огород -> Обустройство дачи и сада,129,Сад и огород
Сад и огород -> Садовая техника,130,Сад и огород
Сад и огород -> Садовый инвентарь,131,Сад и огород
"Сад и огород -> Семена, удобрения и уход за растениями",132,Сад и огород
Сад и огород -> Товары для бани и сауны,133,Сад и огород
Сад и огород -> Товары для летнего отдыха,134,Сад и огород
Сад и огород -> Услуги ландшафтного дизайна,135,Сад и огород
Спорт и активный отдых -> Бокс и боевые искусства,136,Спорт и активный отдых
Спорт и активный отдых -> Велоспорт,137,Спорт и активный отдых
Спорт и активный отдых -> Водные виды спорта,138,Спорт и активный отдых
Спорт и активный отдых -> Зимние виды спорта,139,Спорт и активный отдых
Спорт и активный отдых -> Командные виды спорта,140,Спорт и активный отдых
Спорт и активный отдых -> Массажное оборудование,141,Спорт и активный отдых
Спорт и активный отдых -> Прочие виды спорта,142,Спорт и активный отдых
Спорт и активный отдых -> Рюкзаки и спортивные сумки,143,Спорт и активный отдых
"Спорт и активный отдых -> Самокаты, скейтборды, электротранспорт",144,Спорт и активный отдых
Спорт и активный отдых -> Спортивное питание,145,Спорт и активный отдых
Спорт и активный отдых -> Товары для охоты и рыбалки,146,Спорт и активный отдых
Спорт и активный отдых -> Товары для туризма,147,Спорт и активный отдых
Спорт и активный отдых -> Тренажеры и фитнес,148,Спорт и активный отдых
Строительство и ремонт -> Вентиляционное оборудование,149,Строительство и ремонт
Строительство и ремонт -> Водоснабжение,150,Строительство и ремонт
"Строительство и ремонт -> Двери, окна и лестницы",151,Строительство и ремонт
Строительство и ремонт -> Инструменты,152,Строительство и ремонт
Строительство и ремонт -> Компрессоры и пневмоинструмент,153,Строительство и ремонт
Строительство и ремонт -> Крепеж и фурнитура,154,Строительство и ремонт
Строительство и ремонт -> Лакокрасочные материалы,155,Строительство и ремонт
Строительство и ремонт -> Отделочные материалы,156,Строительство и ремонт
Строительство и ремонт -> Отопительное оборудование,157,Строительство и ремонт
"Строительство и ремонт -> Печи для дома, бани, сауны и комплектующие",158,Строительство и ремонт
Строительство и ремонт -> Сантехника,159,Строительство и ремонт
Строительство и ремонт -> Сварочное оборудование,160,Строительство и ремонт
Строительство и ремонт -> Средства индивидуальной защиты,161,Строительство и ремонт
Строительство и ремонт -> Строительное и складское оборудование,162,Строительство и ремонт
Строительство и ремонт -> Строительные материалы,163,Строительство и ремонт
Строительство и ремонт -> Сухие строительные смеси,164,Строительство и ремонт
Строительство и ремонт -> Умный дом и безопасность,165,Строительство и ремонт
Строительство и ремонт -> Электрика,166,Строительство и ремонт
Товары для дома -> Бытовая химия и товары для уборки,167,Товары для дома
Товары для дома -> Декор интерьера,168,Товары для дома
Товары для дома -> Декор окна,169,Товары для дома
Товары для дома -> Освещение,170,Товары для дома
Товары для дома -> Посуда и кухонные принадлежности,171,Товары для дома
"Товары для дома -> Растения, цветы, аксессуары",172,Товары для дома
Товары для дома -> Текстиль для дома,173,Товары для дома
Товары для дома -> Товары для ванной комнаты,174,Товары для дома
Товары для дома -> Товары для хранения,175,Товары для дома
Товары для дома -> Хозяйственные товары,176,Товары для дома
Транспорт -> Автотовары и запчасти -> Автозапчасти,177,Транспорт
Транспорт -> Автотовары и запчасти -> Автоинструмент,178,Транспорт
Транспорт -> Автотовары и запчасти -> Автокосметика и автохимия,179,Транспорт
Транспорт -> Автотовары и запчасти -> Автосвет,180,Транспорт
Транспорт -> Автотовары и запчасти -> Автоэлектроника,181,Транспорт
Транспорт -> Автотовары и запчасти -> Аккумуляторы и зарядные устройства,182,Транспорт
Транспорт -> Автотовары и запчасти -> Масла и технические жидкости,183,Транспорт
Транспорт -> Автотовары и запчасти -> Тюнинг и аксессуары для авто,184,Транспорт
Транспорт -> Автотовары и запчасти -> Шины и диски,185,Транспорт
Транспорт -> Водный транспорт,186,Транспорт
Транспорт -> Мотоциклы и мопеды,187,Транспорт
Транспорт -> Покупка и продажа авто,188,Транспорт
Транспорт -> Спецтехника,189,Транспорт
Транспорт -> Услуги для авто,190,Транспорт
Услуги,191,Услуги
Хобби и увлечения -> Антиквариат и коллекционирование,192,Хобби и увлечения
Хобби и увлечения -> Игры и головоломки,193,Хобби и увлечения
Хобби и увлечения -> Моделизм,194,Хобби и увлечения
Хобби и увлечения -> Музыкальные инструменты,195,Хобби и увлечения
Хобби и увлечения -> Поделки и рукоделие,196,Хобби и увлечения
Хобби и увлечения -> Прикладное искусство,197,Хобби и увлечения
Хобби и увлечения -> Прочие хобби и увлечения,198,Хобби и увлечения
Цветы и подарки -> Подарки и подарочные сертификаты,199,Цветы и подарки
Цветы и подарки -> Товары для праздников и вечеринок,200,Цветы и подарки
Цветы и подарки -> Цветы,201,Цветы и подарки
Электроника -> Аксессуары для электроники,202,Электроника
Электроника -> Аудио и видео,203,Электроника
Электроника -> Видеоигры,204,Электроника
Электроника -> Игровые приставки,205,Электроника
Электроника -> Компьютеры и комплектующие,206,Электроника
Электроника -> Мобильные телефоны и аксессуары,207,Электроника
Электроника -> Наушники и аксессуары,208,Электроника
Электроника -> Ноутбуки и аксессуары,209,Электроника
Электроника -> Офисная техника,210,Электроника
Электроника -> Планшеты и электронные книги,211,Электроника
Электроника -> Портативная аккустика,212,Электроника
Электроника -> Сетевое оборудование,213,Электроника
Электроника -> Телевизоры и аксессуары,214,Электроника
Электроника -> Умные часы и браслеты,215,Электроника
Электроника -> Фото- и видеокамеры,216,Электроника
Ювелирные изделия и часы -> Браслеты,217,Ювелирные изделия и часы
Ювелирные изделия и часы -> Колье,218,Ювелирные изделия и часы
Ювелирные изделия и часы -> Кольца,219,Ювелирные изделия и часы
Ювелирные изделия и часы -> Прочие ювелирные изделия,220,Ювелирные изделия и часы
Ювелирные изделия и часы -> Серьги,221,Ювелирные изделия и часы
Ювелирные изделия и часы -> Цепочки,222,Ювелирные изделия и часы
